Case;Subcase;total_costs;carbon_costs;carbon_revenues;technology_cost;network_cost;import_cost;export_revenues;violation_cost;net_emissions;positive_emissions;negative_emissions;net_emissions_from_technologies;net_emissions_from_carriers;net_emissions_from_networks;time_total;lb;ub;absolute gap;objective;solver_status;pareto_point;monte_carlo_run;time_stage;normalized_costs;normalized_emissions;delta_cost;delta_emissions;abatemente_cost;curtailment_total;generic_production_total;import_el;export_h2;PowerPlant_Coal_existing;PowerPlant_Gas_existing;PowerPlant_Nuclear_existing;PowerPlant_Oil_existing;Storage_PumpedHydro_Closed_existing;Storage_PumpedHydro_Open_existing;Storage_PumpedHydro_Reservoir_existing;Storage_Battery_Offshore;Storage_Battery_new;Storage_Battery_Offshore_HP;Storage_Battery_new_HP;Electrolyser_PEM;Electrolyser_PEM_offshore;FuelCell;Storage_Hydrogen;electricityAC_existing;electricityDC_existing;hydrogenPipelineOffshore;hydrogenPipelineOnshore_new;hydrogenPipelineOnshore_re;electricityAC;electricityDC;PowerPlant_Nuclear_existing_size;Storage_PumpedHydro_Open_existing_size;PowerPlant_Coal_existing_size;PowerPlant_Gas_existing_size;Storage_PumpedHydro_Closed_existing_size;Storage_PumpedHydro_Reservoir_existing_size;PowerPlant_Oil_existing_size;Storage_Battery_Offshore_size;Storage_Battery_new_size;Storage_Battery_Offshore_HP_size;Storage_Battery_new_HP_size;Electrolyser_PEM_size;Electrolyser_PEM_offshore_size;FuelCell_size;Storage_Hydrogen_size;h2_emissions;total_emissions;electricity_emissions;hydrogen_costs_smr;total_costs_with_smr;electricity_costs;file
Storage;onshore only;23457661030;4161955041;0;8102744177;133516137.1;11059445675;0;0;52024438.01;52024438.01;0;52024438.01;0;0;7055.102;23457661030;23457661030;0;costs_emissionlimit;optimal;0;0;0;1.288945462;0.95;5258550416;-33768020.02;-155.7257552;106.7799021;1000.240928;0;0;0.357435545;168.6565465;51.71826032;0.07734732;25.73543543;148.8566612;0.940279595;;17.72644318;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;87.60418474;;;;;;;29478397.12;81502835.13;52024438.01;13300000000;36757661030;23457661030;20240327054054_Battery_on_minCost_at_0.95
Storage;onshore only;36036926056;3818785209;0;21887577702;133516137.1;10197047009;0;0;47734815.11;47734815.11;0;47734815.11;0;0;10936.82;36036926056;36036926056;0;costs_emissionlimit;optimal;0;0;0;1.980147647;0.9;17837815443;-38057642.92;-468.7052071;93.72997676;1013.290854;0;0;0.061564784;155.5049669;51.9930104;0.026381;23.69157022;148.6242192;0.940279595;;36.73879382;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;274.8729977;;;;;;;29478397.12;77213212.23;47734815.11;13300000000;49336926056;36036926056;20240327020530_Battery_on_minCost_at_0.9
Storage;onshore only;92136857458;3132445544;0;80495372930;133516137.1;8375522846;0;0;39155569.3;39155569.3;0;39155569.3;0;0;5293.275;92136857458;92136857458;0;costs_emissionlimit;optimal;0;0;0;5.062712097;0.8;73937746844;-46636888.72;-1585.391917;64.87075516;1042.150075;0;0;0;127.7267234;50.53616844;0;18.95925049;148.2025388;0.940279595;;75.60827151;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;1068.343109;;;;;;;29478397.12;68633966.42;39155569.3;13300000000;1.05E+11;92136857458;20240327000608_Battery_on_minCost_at_0.8
Storage;onshore only;2.66E+11;2446105880;0;2.57E+11;133516137.1;6540390054;0;0;30576323.5;30576323.5;0;30576323.5;0;0;4281.509;2.66E+11;2.66E+11;0;costs_emissionlimit;optimal;0;0;0;14.63828572;0.7;2.48E+11;-55216134.53;-4495.147487;38.39839363;1068.622437;0;0;0;99.74094832;51.359436;0;12.44098361;147.3050562;0.940279595;;116.4356471;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;3458.688744;;;;;;;29478397.12;60054720.62;30576323.5;13300000000;2.80E+11;2.66E+11;20240326222220_Battery_on_minCost_at_0.7
Synergies;All;6.29E+12;166421103.4;0;6.28E+12;10722995620;444976212.3;0;0;2080263.793;2080263.793;0;2080263.793;0;0;4309.182;2080263.793;2080263.793;3.49E-09;emissions_net;optimal;0;0;0;345.8134805;0.367848895;6.28E+12;-83712194.24;-74962.7787;-0.000106077;1107.020937;0;0;0;6.785887238;104.16516;0;0;145.9867106;0.940279595;48.48338879;99.85912737;;;0;0;0;0;42811.90277;19979.23095;18230.98383;4567.171707;29592.14432;65456.59066;63886.61678;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;3058;80000;;;160;190;160;160000;29478397.12;31558660.91;2080263.793;13300000000;6.31E+12;6.29E+12;20240623163315_All_minE
Grid Expansion;all;19355128912;2475437992;0;2170657263;8119402851;6589630807;0;0;30942974.9;30942974.9;0;30941532.25;1442.657462;0;978.9789999;30942974.9;30942974.9;0;emissions_net;optimal;0;0;0;1.063520593;0.704273702;1156018299;-54849483.13;-21.07619317;72.36346418;1034.657366;0.001803322;0;0.167268244;100.4643691;102.6465665;0.025060355;25.70161658;152.0519086;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;65456.59066;63886.61678;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;60421372.02;30942974.9;13300000000;32655128912;19355128912;20240621220059_ElectricityGrid_all_minE
Grid Expansion;no Border;23078212181;4470320775;0;2616320191;4245470327;11746100887;0;0;55879009.69;55879009.69;0;55791651.47;87358.22623;0;746.839;55879009.69;55879009.69;3.65E-07;emissions_net;optimal;0;0;0;1.268095605;0.994929027;4879101567;-29913448.34;-163.1072943;154.7728164;952.2480142;0.109197783;0;1.655365061;177.4627723;103.0015236;0.199819196;29.33232254;149.2113641;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;50727.12823;14928.50048;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;85357406.81;55879009.69;13300000000;36378212181;23078212181;20240623055627_ElectricityGrid_noBorder_minE
Grid Expansion;offshore only;15139102716;2523708750;0;2186389200;3710852464;6718152302;0;0;31546359.38;31546359.38;0;31544852.56;1506.814495;0;778.046;31546359.38;31546359.38;0;emissions_net;optimal;0;0;0;0.831859481;0.711306773;-3060007898;-54246098.65;56.40973184;83.81041741;1023.210413;0.001883518;0;0.170688316;102.4230989;103.0748725;0.025452954;25.28805593;151.9255835;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;0;52397.28807;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;61024756.5;31546359.38;13300000000;28439102716;15139102716;20240622203045_ElectricityGrid_off_minE
Grid Expansion;onshore only;22996408377;4447274994;0;2604942340;4250440175;11693750868;0;0;55590937.42;55590937.42;0;55503802.85;87134.56786;0;1006.327;55590937.42;55590937.42;6.33E-07;emissions_net;optimal;0;0;0;1.263600671;0.991571246;4797297764;-30201520.61;-158.8429193;153.4695143;953.5513163;0.10891821;0;1.604544267;176.668698;102.7835285;0.190876228;28.50792528;149.0433544;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;65456.59066;5831.050063;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;85069334.54;55590937.42;13300000000;36296408377;22996408377;20240624175916_ElectricityGrid_on_minE
Hydrogen;all;1.08E+11;3261622284;0;93841294543;2737108907;8720915197;963271712.4;0;38631435.11;40770278.55;2138843.44;40770278.55;-2138843.44;0;1770.01;38631435.11;38631435.11;7.75E-07;emissions_net;optimal;0;0;0;5.912248763;0.793890673;89398558605;-47161022.92;-1895.602617;-0.000106077;1107.020937;0;19.80410593;0;139.9936387;104.16516;0;20.8194658;149.5124367;0.940279595;;;;;113.6735223;2.20137986;41.79305871;97.96496385;42811.90277;19979.23095;18230.98383;4567.171707;29592.14432;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;160;200;160;160000;27339553.68;68109832.23;40770278.55;12336728288;1.20E+11;1.08E+11;20240328140115_Hydrogen_Baseline_minE
Hydrogen;local use only;87593747466;3262517072;0;76359880664;133516137.1;8723307680;885474086.5;0;38815361.4;40781463.4;1966102.001;40781463.4;-1966102.001;0;4100.216;38815361.4;38815361.4;0;emissions_net;optimal;0;0;0;4.81307847;0.796034524;69394636853;-46977096.63;-1477.201472;2.230606703;1104.790224;0;18.20464816;0;140.0320443;104.16516;0;21.53708429;149.4932896;0.940279595;;;;;114.1801041;;41.75326584;98.09790017;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;160;;160;160000;27512295.12;68293758.52;40781463.4;12414525913;1.00E+11;87593747466;20240327191911_Hydrogen_H4_minE
Hydrogen;no hydrogen offshore;90060499997;3262491009;0;76226546729;2737108907;8723237993;888884641.4;0;38807462.84;40781137.62;1973674.779;40781137.62;-1973674.779;0;1683.712;38807462.84;38807462.84;6.33E-07;emissions_net;optimal;0;0;0;4.948620947;0.795942458;71861389384;-46984995.19;-1529.454018;1.998351694;1105.022479;0;18.27476648;0;140.0309257;104.16516;0;21.50270626;149.5182667;0.940279595;;;;;114.2428973;;41.71018577;97.78857004;42811.90277;19979.23095;18230.98383;4567.171707;29592.14432;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;160;;160;160000;27504722.34;68285859.96;40781137.62;12411115359;1.02E+11;90060499997;20240327182421_Hydrogen_H2_minE
Hydrogen;no hydrogen onshore;94778868711;3366214033;0;80217587107;2737108907;9000572282;542613616.8;0;40872859;42077675.42;1204816.419;42077675.42;-1204816.419;0;1778.216;40872859;40872859;3.74E-06;emissions_net;optimal;0;0;0;5.207884645;0.820016791;76579758098;-44919599.03;-1704.818382;18.40989292;1088.610938;0;11.15570758;0;144.4828708;103.919888;0;23.09802396;149.5165143;0.940279595;;;;;;99.86230346;37.37990077;89.54986833;42811.90277;19979.23095;18230.98383;4567.171707;29592.14432;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;180;160;160000;28273580.7;70351256.12;42077675.42;12757386383;1.08E+11;94778868711;20240417120114_Hydrogen_H3_minE
Hydrogen;no storage;74299412598;4496942748;0;61262140417;166114744;11816622179;3442407490;0;48568280.88;56211784.36;7643503.473;56123813.1;-7555532.215;0;2188.364;48146391.74;48568280.88;421889.1401;emissions_net;optimal;0;0;0;4.082584813;0.909714907;56100301985;-37224177.15;-1507.093145;36.46379346;1070.557037;0.109964072;70.7731803;1.662337256;178.5554599;103.6706609;0.200987519;24.11305167;149.0960239;0.940279595;;;;;97.06341018;0;12.93467268;;42811.90277;19979.23095;0;0;3228.229511;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;160;190;160;;21834893.65;78046678;56211784.36;9857592510;84157005108;74299412598;20240327175440_Hydrogen_H1_minE
Storage;all;6.19E+12;2043172161;0;6.18E+12;133516137.1;5463027168;0;0;25539652.01;25539652.01;0;25539652.01;0;0;2848.403;25539652.01;25539652.01;0;emissions_net;optimal;0;0;0;340.1171933;0.641292375;6.17E+12;-60252806.02;-102428.9443;16.26591092;1090.75492;0;0;0;83.31116431;103.083112;0;7.649146042;145.9867106;0.940279595;688.3299778;728.482225;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;3058;80000;;;;;;;29478397.12;55018049.13;25539652.01;13300000000;6.20E+12;6.19E+12;20240326212338_Battery_all_minE
Storage;offshore only;2.86E+11;2636133633;0;2.76E+11;133516137.1;7048485651;0;0;32951670.42;32951670.42;0;32951670.42;0;0;2625.058;32951670.42;32951670.42;0;emissions_net;optimal;0;0;0;15.71092369;0.72768713;2.68E+11;-52840787.61;-5066.649034;33.29885046;1073.72198;0;0;0;107.4894062;104.039759;0;17.38840427;147.3426413;0.940279595;1587.162482;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;3058;;;;;;;;29478397.12;62430067.54;32951670.42;13300000000;2.99E+11;2.86E+11;20240326211652_Battery_off_minE
Storage;onshore only;5.93E+12;2044906637;0;5.93E+12;133516137.1;5467664804;0;0;25561332.96;25561332.96;0;25561332.96;0;0;1973.846;25561332.96;25561332.96;0;emissions_net;optimal;0;0;0;326.0520723;0.641545089;5.92E+12;-60231125.07;-98215.97421;38.27161207;1068.749218;0;0;0;83.38188826;103.8577887;0;18.18947083;145.9867106;0.940279595;;753.9672227;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;80000;;;;;;;29478397.12;55039730.08;25561332.96;13300000000;5.95E+12;5.93E+12;20240326211850_Battery_on_minE
Baseline;Baseline;18199110613;4505124873;0;1735240044;133516137.1;11825229560;0;0;56314060.91;56314060.91;0;56229682.94;84377.96792;0;444.7910001;18199110613;18199110613;0;emissions_net;optimal;0;0;0;1;1;0;-29478397.12;0;117.5414848;989.4793457;0.10547246;0;1.868727389;178.7262958;51.13440292;0.022154518;27.71096945;149.1119818;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;85792458.03;56314060.91;13300000000;31499110613;18199110613;20240308120552_Baseline_costs
